scenario,execIndex,plotIndex,label,start,end,type,duration_ms
24h,1,0,c1-internet,0,294,context,294
24h,1,0,c2-battery,0,294,context,294
24h,1,0,c3-doctor,0,294,context,294
24h,1,0,c5-patientok,0,294,context,294
24h,1,0,client-request,0,294,http-200,294
24h,2,0,!c1-internet,294,508,context,214
24h,2,0,!c2-battery,294,508,context,214
24h,2,0,c4-drug,0,508,context,508
24h,2,0,client-request,444,508,http-200,64
24h,3,0,c2-battery,508,677,context,169
24h,3,0,!c3-doctor,294,677,context,383
24h,3,0,!c5-patientok,294,677,context,383
24h,3,0,client-request,659,677,http-200,18
24h,4,0,!c4-drug,508,1063,context,555
24h,4,0,c5-patientok,677,1063,context,386
24h,4,0,client-request,827,1063,http-200,236
24h,5,0,!c2-battery,677,1528,context,851
24h,5,0,!c5-patientok,1063,1528,context,465
24h,5,0,client-request,1213,1528,http-200,315
24h,6,0,c2-battery,1528,1759,context,231
24h,6,0,c3-doctor,677,1759,context,1082
24h,6,0,client-request,1678,1759,http-200,81
24h,7,0,c4-drug,1063,2074,context,1011
24h,7,0,client-request,1909,2074,http-200,165
24h,8,0,client-request,2224,2351,http-200,127
24h,9,0,!c3-doctor,1759,2548,context,789
24h,9,0,client-request,2501,2548,http-200,47
24h,10,0,!c4-drug,2074,2913,context,839
24h,10,0,client-request,2698,2913,http-200,215
24h,11,0,!c2-battery,1759,3266,context,1507
24h,11,0,client-request,3063,3266,http-200,203
24h,12,0,c2-battery,3266,3570,context,304
24h,12,0,c3-doctor,2548,3570,context,1022
24h,12,0,client-request,3417,3570,http-200,153
24h,13,0,!c3-doctor,3570,3775,context,205
24h,13,0,c4-drug,2913,3775,context,862
24h,13,0,client-request,3721,3775,http-200,54
24h,14,0,c3-doctor,3775,4131,context,356
24h,14,0,!c4-drug,3775,4131,context,356
24h,14,0,client-request,3925,4131,http-200,206
24h,15,0,!c2-battery,3570,4357,context,787
24h,15,0,client-request,4281,4357,http-200,76
24h,16,0,c1-internet,508,4535,context,4027
24h,16,0,!c3-doctor,4131,4535,context,404
24h,16,0,client-request,4507,4535,http-200,28
24h,17,0,c2-battery,4357,4796,context,439
24h,17,0,c4-drug,4131,4796,context,665
24h,17,0,client-request,4686,4796,http-200,110
24h,18,0,!c1-internet,4535,5036,context,501
24h,18,0,!c2-battery,4796,5036,context,240
24h,18,0,!c4-drug,4796,5036,context,240
24h,18,0,client-request,4947,5036,http-200,89
24h,19,0,c3-doctor,4535,5287,context,752
24h,19,0,c5-patientok,1528,5287,context,3759
24h,19,0,client-request,5186,5287,http-200,101
24h,20,0,!c3-doctor,5287,5531,context,244
24h,20,0,!c5-patientok,5287,5531,context,244
24h,20,0,client-request,5437,5531,http-200,94
24h,21,0,client-request,5681,5802,http-200,121
24h,22,0,c1-internet,5036,6002,context,966
24h,22,0,c2-battery,5036,6002,context,966
24h,22,0,client-request,5952,6002,http-200,50
24h,23,0,!c1-internet,6002,6189,context,187
24h,23,0,!c2-battery,6002,6189,context,187
24h,23,0,c3-doctor,5531,6189,context,658
24h,23,0,client-request,6154,6189,http-200,35
24h,24,0,c2-battery,6189,6386,context,197
24h,24,0,!c3-doctor,6189,6386,context,197
24h,24,0,client-request,6339,6386,http-200,47
24h,25,0,!c2-battery,6386,6701,context,315
24h,25,0,client-request,6536,6701,http-200,165
24h,26,0,client-request,6852,6938,http-200,86
24h,27,0,c2-battery,6701,7193,context,492
24h,27,0,client-request,7088,7193,http-200,105
24h,28,0,c3-doctor,6386,7540,context,1154
24h,28,0,client-request,7343,7540,http-200,197
24h,29,0,c1-internet,6189,7772,context,1583
24h,29,0,!c2-battery,7193,7772,context,579
24h,29,0,c5-patientok,5531,7772,context,2241
24h,29,0,client-request,7690,7772,http-200,82
24h,30,0,!c1-internet,7772,7962,context,190
24h,30,0,!c3-doctor,7540,7962,context,422
24h,30,0,!c5-patientok,7772,7962,context,190
24h,30,0,client-request,7922,7962,http-200,40
24h,31,0,client-request,8112,8231,http-200,119
24h,32,0,c2-battery,7772,8455,context,683
24h,32,0,c4-drug,5036,8455,context,3419
24h,32,0,client-request,8382,8455,http-200,73
24h,33,0,c1-internet,7962,8738,context,776
24h,33,0,!c2-battery,8455,8738,context,283
24h,33,0,!c4-drug,8455,8738,context,283
24h,33,0,client-request,8605,8738,http-200,133
24h,34,0,!c1-internet,8738,9062,context,324
24h,34,0,c2-battery,8738,9062,context,324
24h,34,0,c3-doctor,7962,9062,context,1100
24h,34,0,c5-patientok,7962,9062,context,1100
24h,34,0,client-request,8889,9062,http-200,173
24h,35,0,c4-drug,8738,9346,context,608
24h,35,0,!c5-patientok,9062,9346,context,284
24h,35,0,client-request,9212,9346,http-200,134
24h,36,0,c5-patientok,9346,9660,context,314
24h,36,0,client-request,9496,9660,http-200,164
24h,37,0,!c5-patientok,9660,9901,context,241
24h,37,0,client-request,9810,9901,http-200,91
24h,38,0,!c2-battery,9062,10199,context,1137
24h,38,0,!c3-doctor,9062,10199,context,1137
24h,38,0,!c4-drug,9346,10199,context,853
24h,38,0,client-request,10051,10199,http-200,148
24h,39,0,c3-doctor,10199,10493,context,294
24h,39,0,client-request,10349,10493,http-200,144
24h,40,0,c4-drug,10199,10718,context,519
24h,40,0,client-request,10643,10718,http-200,75
24h,41,0,c2-battery,10199,10998,context,799
24h,41,0,!c3-doctor,10493,10998,context,505
24h,41,0,!c4-drug,10718,10998,context,280
24h,41,0,c5-patientok,9901,10998,context,1097
24h,41,0,client-request,10868,10998,http-200,130
24h,42,0,c3-doctor,10998,11189,context,191
24h,42,0,c4-drug,10998,11189,context,191
24h,42,0,!c5-patientok,10998,11189,context,191
24h,42,0,client-request,11148,11189,http-200,41
24h,43,0,!c4-drug,11189,11409,context,220
24h,43,0,client-request,11339,11409,http-200,70
24h,44,0,client-request,11559,11705,http-200,146
24h,45,0,!c2-battery,10998,12048,context,1050
24h,45,0,!c3-doctor,11189,12048,context,859
24h,45,0,client-request,11855,12048,http-200,193
24h,46,0,c3-doctor,12048,12254,context,206
24h,46,0,c4-drug,11409,12254,context,845
24h,46,0,client-request,12198,12254,http-200,56
24h,47,0,!c4-drug,12254,12486,context,232
24h,47,0,client-request,12404,12486,http-200,82
24h,48,0,c2-battery,12048,12759,context,711
24h,48,0,client-request,12636,12759,http-200,123
24h,99,0,c1-internet,9062,12909,context,3847
24h,99,0,!c2-battery,12759,12909,context,150
24h,99,0,!c3-doctor,12254,12909,context,655
24h,99,0,c4-drug,12486,12909,context,423
24h,99,0,c5-patientok,11189,12909,context,1720
24h,21aabec1-4fb7-4f93-80c9-6653b582ef6b,1,ms-treatment,51,68,bundle,17
24h,aef715b5-b17c-4b89-9905-589066705706,1,ms-intelligence,24,81,bundle,57
24h,986d5e1d-4419-4874-bfc3-b86072e272d6,1,ms-treatment,141,161,bundle,20
24h,90f07cee-3410-4108-bb5c-dd4d34422e7b,1,ms-intelligence,133,180,bundle,47
24h,83ec8a82-9de1-432a-8c8e-abb9873f05e6,1,ms-treatment,258,275,bundle,17
24h,066d4d89-d786-4b0a-a2f6-916d313c7efd,1,ms-intelligence,238,288,bundle,50
24h,024706ec-93e1-416b-8287-710369d33cd6,1,ms-treatment,455,463,bundle,8
24h,2b49c3be-7334-4255-8256-2cad50502363,1,ms-intelligence,450,470,bundle,20
24h,945ec572-009d-495e-8f76-695bb926ae8f,1,ms-treatment,496,502,bundle,6
24h,bb67c7f7-f972-44c5-afa3-fe7c5775c938,1,ms-intelligence,489,507,bundle,18
24h,6cb89db9-3442-42fd-9f32-b68ad6d5d16a,1,ms-treatment,669,673,bundle,4
24h,3e4d6b1d-2ae7-46be-ab96-8e7eada184bf,1,ms-intelligence,665,675,bundle,10
24h,f7c9852b-dcc3-4cf4-8f7b-ff8a8e8255cb,1,ms-treatment,864,876,bundle,12
24h,a702bc23-6dfd-47e9-8b2d-a5d50da224bc,1,ms-intelligence,848,882,bundle,34
24h,46b05e31-2c9b-4d23-a075-1ad4c14ff2d2,1,ms-treatment,926,939,bundle,13
24h,46ca9454-2762-4014-9492-351989757a28,1,ms-intelligence,909,943,bundle,34
24h,80984ea0-7b0e-465f-ae29-30c679ff8e12,1,ms-treatment,982,993,bundle,11
24h,847e5992-42d5-4349-b5b2-c888530efab4,1,ms-intelligence,968,999,bundle,31
24h,27de3546-7978-426b-b934-aea07825fe8a,1,ms-treatment,1038,1051,bundle,13
24h,a73e2b32-8b6d-4f29-a795-eab36ba376e2,1,ms-intelligence,1024,1056,bundle,32
24h,20251fdf-5e78-4093-b19a-66132ad20d77,1,ms-treatment,1246,1259,bundle,13
24h,c5081a09-83d8-4b89-9aee-14a83e1df851,1,ms-intelligence,1231,1264,bundle,33
24h,48eec3d7-b8d3-4e10-8b3c-b48b04e4bbb7,1,ms-treatment,1308,1324,bundle,16
24h,38d80ca0-e136-49ef-ae16-cb94c5c4caba,1,ms-intelligence,1293,1331,bundle,38
24h,560709f2-8e9d-4335-af78-c8d9069b648a,1,ms-treatment,1373,1384,bundle,11
24h,4eb7e637-99f0-4840-95ec-b6eb88646607,1,ms-intelligence,1362,1390,bundle,28
24h,4e74127b-e988-460b-afa8-81574ca54976,1,ms-treatment,1492,1521,bundle,29
24h,57abaa42-7c3a-4312-8048-c571edf7f863,1,ms-intelligence,1465,1522,bundle,57
24h,076884da-22bc-4289-97b6-c95caa1d12cd,1,ms-treatment,1689,1693,bundle,4
24h,e958868d-7905-4202-92cd-c278b59d3448,1,ms-intelligence,1684,1695,bundle,11
24h,4ccca9ed-fffe-421a-8210-1c7c267cfc77,1,ms-treatment,1711,1715,bundle,4
24h,ea254460-d662-4bfe-863e-0dc66646638c,1,ms-intelligence,1707,1717,bundle,10
24h,6a497375-4bdd-439e-92cf-1e7e532fcd4e,1,ms-treatment,1729,1734,bundle,5
24h,fa399e6b-f388-4bfa-b81f-83d4017b4c25,1,ms-intelligence,1727,1738,bundle,11
24h,8a5814fe-2e45-42d4-8cc0-b1689b285c14,1,ms-treatment,1751,1755,bundle,4
24h,56419850-a6f9-4780-ae7a-761110fdc260,1,ms-intelligence,1747,1756,bundle,9
24h,ccb1b526-5778-445e-bb1e-556cbf45168e,1,ms-treatment,1940,1952,bundle,12
24h,84a16c82-ffd4-4200-a0b5-95358fcc2ff5,1,ms-intelligence,1925,1956,bundle,31
24h,ef4355b0-fa69-4a44-8756-9cfb83c66951,1,ms-treatment,1995,2009,bundle,14
24h,4588496f-9f80-4847-930b-3b99c898aa33,1,ms-intelligence,1983,2014,bundle,31
24h,119f213e-bd30-4dbc-afb4-16263a8b4f3d,1,ms-treatment,2048,2059,bundle,11
24h,44aeafb3-4931-4e10-a25f-6922e44aaead,1,ms-intelligence,2038,2064,bundle,26
24h,bdf622ce-d7df-4572-aa99-5d2fd74a04a7,1,ms-intelligence,2257,2282,bundle,25
24h,613cb788-86d7-4c02-8538-89004f8409a1,1,ms-treatment,2273,2290,bundle,17
24h,cc4a5848-9752-4ffe-b2c0-0e33e81e96e0,1,ms-treatment,2309,2318,bundle,9
24h,049b29f9-9968-4a59-87ec-3f2ce6a2c7be,1,ms-intelligence,2304,2320,bundle,16
24h,5f01108e-ca39-4034-b6ae-43250e172bfa,1,ms-treatment,2340,2347,bundle,7
24h,5ff37ba7-a91a-4d58-893c-c9d9d2930a91,1,ms-intelligence,2334,2350,bundle,16
24h,e4d0a1aa-d1d1-408b-b6ca-e4cb4f45ab70,1,ms-treatment,2526,2538,bundle,12
24h,4efd385a-9fb5-4d62-8712-2cf9a41bcfeb,1,ms-intelligence,2515,2542,bundle,27
24h,a88d72c8-9c27-40bb-b600-fbcdc9acd660,1,ms-treatment,2721,2734,bundle,13
24h,153e9cb8-7d1a-477c-b302-8b9946d99182,1,ms-intelligence,2713,2740,bundle,27
24h,eedfaea6-dbef-4c04-b398-c14104dbdaf5,1,ms-treatment,2782,2795,bundle,13
24h,163d80ad-3f25-4c28-a5ee-92838fa8a278,1,ms-intelligence,2768,2800,bundle,32
24h,bb6f10c0-c8f1-4e51-a3d5-c9c615c1d2a8,1,ms-treatment,2840,2853,bundle,13
24h,d4b4c8b4-b994-42e6-a96e-1c7b2f73f341,1,ms-intelligence,2828,2856,bundle,28
24h,a1d802ac-2445-49c6-87c0-01fcb799dd21,1,ms-treatment,2892,2901,bundle,9
