scenario,execIndex,plotIndex,label,start,end,type
1,1,1,battery-is-low,0,7920000,context
1,1,1,battery-is-low,62280000,72000000,context
1,1,2,patient-is-ok,0,22715999,context
1,1,2,patient-is-ok,58356000,66528000,context
1,1,3,internet-connection,0,12600000,context
1,1,4,!battery-is-low,7920000,62280000,context
1,1,3,internet-connection,14760000,54504000,context
1,1,5,!patient-is-ok,22715999,58356000,context
1,1,6,doctor-is-present,26064000,46331999,context
1,1,7,drug-is-available,31607999,70704000,context
1,1,5,!patient-is-ok,66528000,72000000,context
1,1,8,AlarmService-impl,6,12600023,bundle
1,1,9,ProvideSelfDiagnosedEmergenciesSupport-impl,7,72000000,bundle
1,1,10,PushButton-impl,7,72000000,bundle
1,1,11,ProvideHalthSupport-impl,7,72000000,bundle
1,1,12,MonitorPatient-impl,7920019,62280052,bundle
1,1,13,GetSensedData-impl,7920019,62280052,bundle
1,1,14,ProvideAutomatedLifeSupport-impl,7920019,62280052,bundle
1,1,15,RemoteAnalysis-impl,7920019,12600023,bundle
1,1,16,SendSMS-impl,12600023,14760025,bundle
1,1,17,LocalAnalysis-impl,12600023,14760025,bundle
1,1,8,AlarmService-impl,14760025,54504049,bundle
1,1,15,RemoteAnalysis-impl,14760025,54504049,bundle
1,1,18,EnactTreatment-impl,22716030,58356051,bundle
1,1,19,ChangeDrug-impl,26064033,46332046,bundle
1,1,20,AdministerMedicine-impl,26064033,58356051,bundle
1,1,21,ChangeDose-impl,31608037,58356051,bundle
1,1,16,SendSMS-impl,54504049,72000000,bundle
1,1,17,LocalAnalysis-impl,54504049,62280052,bundle
1,1,22,system_available,6,12600000,system
1,1,22,system_available,12600023,46331999,system
1,1,22,system_available,46332046,54504000,system
1,1,22,system_available,54504049,58356000,system
1,1,22,system_available,58356051,62280000,system
1,1,22,system_available,62280052,72000000,system
1,1,23,system_unavailable,0,6,failure
1,1,23,system_unavailable,12600000,12600023,failure
1,1,23,system_unavailable,46331999,46332046,failure
1,1,23,system_unavailable,54504000,54504049,failure
1,1,23,system_unavailable,58356000,58356051,failure
1,1,23,system_unavailable,62280000,62280052,failure
