scenario,execIndex,plotIndex,label,start,end,type
1,1,0,c1-internet,0,20,context
1,1,0,c5-patientok,0,20,context
1,1,0,client-request,0,20,http-200
1,2,0,!c1-internet,20,537,context
1,2,0,c2-battery,0,537,context
1,2,0,c4-drug,0,537,context
1,2,0,client-request,521,537,http-200
1,3,0,c1-internet,537,1055,context
1,3,0,c3-doctor,0,1055,context
1,3,0,!c4-drug,537,1055,context
1,3,0,client-request,1037,1055,http-200
1,4,0,!c1-internet,1055,1573,context
1,4,0,!c2-battery,537,1573,context
1,4,0,!c3-doctor,1055,1573,context
1,4,0,c4-drug,1055,1573,context
1,4,0,client-request,1555,1573,http-200
1,5,0,c2-battery,1573,2092,context
1,5,0,c3-doctor,1573,2092,context
1,5,0,client-request,2074,2092,http-200
1,6,0,c1-internet,1573,2610,context
1,6,0,!c3-doctor,2092,2610,context
1,6,0,!c4-drug,1573,2610,context
1,6,0,client-request,2592,2610,http-200
1,7,0,!c1-internet,2610,3128,context
1,7,0,!c2-battery,2092,3128,context
1,7,0,c4-drug,2610,3128,context
1,7,0,client-request,3110,3128,http-200
1,8,0,c2-battery,3128,3647,context
1,8,0,!c4-drug,3128,3647,context
1,8,0,client-request,3628,3647,http-200
1,9,0,c3-doctor,2610,4167,context
1,9,0,client-request,4147,4167,http-200
1,10,0,c1-internet,3128,4690,context
1,10,0,!c3-doctor,4167,4690,context
1,10,0,c4-drug,3647,4690,context
1,10,0,client-request,4668,4690,http-200
1,11,0,!c4-drug,4690,5211,context
1,11,0,!c5-patientok,20,5211,context
1,11,0,client-request,5190,5211,http-200
1,12,0,c4-drug,5211,5731,context
1,12,0,c5-patientok,5211,5731,context
1,12,0,client-request,5711,5731,http-200
1,13,0,!c2-battery,3647,6254,context
1,13,0,!c5-patientok,5731,6254,context
1,13,0,client-request,6232,6254,http-200
1,14,0,c2-battery,6254,6791,context
1,14,0,c3-doctor,4690,6791,context
1,14,0,client-request,6755,6791,http-200
1,15,0,!c2-battery,6791,7312,context
1,15,0,!c3-doctor,6791,7312,context
1,15,0,!c4-drug,5731,7312,context
1,15,0,c5-patientok,6254,7312,context
1,15,0,client-request,7291,7312,http-200
1,16,0,!c1-internet,4690,7828,context
1,16,0,c3-doctor,7312,7828,context
1,16,0,c4-drug,7312,7828,context
1,16,0,!c5-patientok,7312,7828,context
1,16,0,client-request,7813,7828,http-200
1,17,0,c1-internet,7828,8349,context
1,17,0,c2-battery,7312,8349,context
1,17,0,!c3-doctor,7828,8349,context
1,17,0,c5-patientok,7828,8349,context
1,17,0,client-request,8328,8349,http-200
1,18,0,!c2-battery,8349,8867,context
1,18,0,c3-doctor,8349,8867,context
1,18,0,!c5-patientok,8349,8867,context
1,18,0,client-request,8849,8867,http-200
1,19,0,!c1-internet,8349,9394,context
1,19,0,c2-battery,8867,9394,context
1,19,0,!c3-doctor,8867,9394,context
1,19,0,c5-patientok,8867,9394,context
1,19,0,client-request,9367,9394,http-200
1,20,0,!c2-battery,9394,9920,context
1,20,0,!c4-drug,7828,9920,context
1,20,0,client-request,9894,9920,http-200
1,21,0,c2-battery,9920,10436,context
1,21,0,client-request,10420,10436,http-200
1,22,0,!c2-battery,10436,10951,context
1,22,0,c4-drug,9920,10951,context
1,22,0,client-request,10936,10951,http-200
1,23,0,c2-battery,10951,11473,context
1,23,0,!c4-drug,10951,11473,context
1,23,0,!c5-patientok,9394,11473,context
1,23,0,client-request,11451,11473,http-200
1,24,0,!c2-battery,11473,11988,context
1,24,0,c5-patientok,11473,11988,context
1,24,0,client-request,11974,11988,http-200
1,25,0,c4-drug,11473,12509,context
1,25,0,!c5-patientok,11988,12509,context
1,25,0,client-request,12488,12509,http-200
1,26,0,c3-doctor,9394,13025,context
1,26,0,client-request,13009,13025,http-200
1,27,0,c2-battery,11988,13543,context
1,27,0,!c3-doctor,13025,13543,context
1,27,0,!c4-drug,12509,13543,context
1,27,0,c5-patientok,12509,13543,context
1,27,0,client-request,13525,13543,http-200
1,28,0,c1-internet,9394,14060,context
1,28,0,c4-drug,13543,14060,context
1,28,0,client-request,14043,14060,http-200
1,29,0,!c1-internet,14060,14580,context
1,29,0,!c2-battery,13543,14580,context
1,29,0,client-request,14560,14580,http-200
1,30,0,c1-internet,14580,15098,context
1,30,0,c2-battery,14580,15098,context
1,30,0,!c5-patientok,13543,15098,context
1,30,0,client-request,15080,15098,http-200
1,99,0,!c1-internet,15098,15598,context
1,99,0,!c2-battery,15098,15598,context
1,99,0,c3-doctor,13543,15598,context
1,99,0,!c4-drug,14060,15598,context
1,99,0,c5-patientok,15098,15598,context
